,Player_Id,Runs,Over_count,Econ_Rate,cluster,Player_Name,Bowling_Skill,DOB,Country
222,309,759.0,100.0,7.59,2,KK Cooper,Right-arm medium,16-Feb-89,West Indies
223,210,556.0,62.0,8.97,2,R McLaren,Right-arm medium-fast,9-Feb-83,South Africa
224,286,322.0,44.833333333333336,7.18,2,AG Murtaza,Slow left-arm orthodox,1-Jan-90,India
225,270,779.0,99.66666666666667,7.82,2,S Aravind,Left-arm medium-fast,8-Apr-84,India
226,314,422.0,60.5,6.98,2,Ankit Sharma,Slow left-arm orthodox,20-Apr-91,India
227,302,400.0,50.5,7.92,2,BA Bhatt,Slow left-arm orthodox,13-May-90,India
228,153,538.0,73.83333333333333,7.29,2,RR Powar,Right-arm offbreak,20-May-78,India
229,234,444.0,51.0,8.71,2,SJ Srivastava,Left-arm fast-medium,22-Sep-81,India
230,228,441.0,56.0,7.88,2,Bipul Sharma,Slow left-arm orthodox,28-Sep-83,India
231,274,406.0,54.5,7.45,2,AC Thomas,Right-arm fast-medium,9-Feb-77,England
232,321,686.0,92.0,7.46,2,Azhar Mahmood,Right-arm fast-medium,28-Feb-75,Pakistan
233,325,391.0,45.0,8.69,2,A Ashish Reddy,Right-arm medium,24-Feb-91,India
234,377,833.0,104.16666666666667,8.0,2,TG Southee,Right-arm medium-fast,11-Dec-88,New Zealand
235,267,722.0,100.16666666666667,7.21,2,WD Parnell,Left-arm medium-fast,30-Jul-89,South Africa
236,246,515.0,60.333333333333336,8.54,2,AN Ahmed,Right-arm medium-fast,5-Nov-88,India
237,135,365.0,45.833333333333336,7.96,2,TM Dilshan,Right-arm offbreak,14-Oct-76,Sri Lanka
238,248,710.0,100.0,7.1,2,DE Bollinger,Left-arm fast-medium,24-Jul-81,Australia
239,316,568.0,77.66666666666667,7.31,2,GB Hogg,Slow left-arm chinaman,6-Feb-71,Australia
240,57,449.0,57.0,7.88,2,RG Sharma,Right-arm offbreak,30-Apr-87,India
241,258,636.0,83.0,7.66,2,DT Christian,Right-arm fast-medium,4-May-83,Australia
242,177,515.0,75.83333333333333,6.79,2,RE van der Merwe,Slow left-arm orthodox,31-Dec-84,South Africa
243,29,2653.0,350.1666666666667,7.58,3,IK Pathan,Left-arm medium-fast,27-Oct-84,India
244,81,2917.0,356.8333333333333,8.17,3,R Vinay Kumar,Right-arm medium,12-Feb-84,India
245,201,2528.0,393.1666666666667,6.43,3,R Ashwin,Right-arm offbreak,17-Sep-86,India
246,67,3123.0,412.0,7.58,3,PP Chawla,Legbreak,24-Dec-88,India
247,50,3162.0,457.0,6.92,3,Harbhajan Singh,Right-arm offbreak,3-Jul-80,India
248,15,2511.0,338.3333333333333,7.42,3,Z Khan,Left-arm fast-medium,7-Oct-78,India
249,14,3135.0,421.5,7.44,3,P Kumar,Right-arm medium,2-Oct-86,India
250,136,2941.0,411.0,7.16,3,A Mishra,Legbreak,24-Nov-82,India
251,94,2350.0,359.8333333333333,6.53,3,DW Steyn,Right-arm fast,27-Jun-83,South Africa
252,71,2778.0,351.6666666666667,7.9,3,DJ Bravo,Right-arm medium-fast,7-Oct-83,West Indies
253,194,2611.0,401.1666666666667,6.51,3,SL Malinga,Right-arm fast,28-Aug-83,Sri Lanka
254,186,1415.0,178.16666666666666,7.94,4,SB Jakati,Slow left-arm orthodox,27-Nov-80,India
255,27,1044.0,142.83333333333334,7.31,4,Yuvraj Singh,Slow left-arm orthodox,12-Dec-81,India
256,350,1060.0,142.16666666666666,7.46,4,CH Morris,Right-arm fast-medium,30-Apr-87,South Africa
257,120,1261.0,151.66666666666666,8.31,4,MS Gony,Right-arm medium,4-Jan-84,India
258,333,1019.0,128.83333333333334,7.91,4,P Awana,Right-arm medium,19-Jul-86,India
259,116,985.0,121.0,8.14,4,PJ Sangwan,Left-arm medium,5-Nov-90,India
260,235,1093.0,155.83333333333334,7.01,4,R Sharma,Right-arm offbreak,30-Apr-87,India
261,77,1208.0,157.83333333333334,7.65,4,S Sreesanth,Right-arm fast-medium,6-Feb-83,India
262,66,1111.0,152.66666666666666,7.28,4,B Lee,Right-arm fast,8-Nov-76,Australia
263,21,1029.0,142.0,7.25,4,SK Raina,Right-arm offbreak,27-Nov-86,India
264,375,971.0,118.33333333333333,8.21,4,JJ Bumrah,Right-arm medium,6-Dec-93,India
265,82,1166.0,136.66666666666666,8.53,4,AB Agarkar,Right-arm fast,4-Dec-77,India
266,346,994.0,119.33333333333333,8.33,4,JD Unadkat,Left-arm medium,18-Oct-91,India
267,357,1367.0,173.83333333333334,7.86,4,MG Johnson,Left-arm fast,2-Nov-81,Australia
268,334,912.0,108.5,8.41,4,AD Russell,Right-arm fast,29-Apr-88,West Indies
269,280,1025.0,119.16666666666667,8.6,4,NLTC Perera,Right-arm medium-fast,3-Apr-89,Sri Lanka
270,293,1201.0,171.16666666666666,7.02,4,S Nadeem,Slow left-arm orthodox,12-Aug-89,India
271,124,1089.0,163.83333333333334,6.65,4,A Kumble,Legbreak googly,17-Oct-70,India
272,166,1136.0,142.83333333333334,7.95,4,KV Sharma,Legbreak googly,23-Oct-87,India
273,374,1218.0,164.33333333333334,7.41,4,AR Patel,Slow left-arm orthodox,20-Jan-94,India
274,188,1074.0,144.16666666666666,7.45,4,RJ Harris,Right-arm fast,11-Oct-79,Australia
275,310,1562.0,187.16666666666666,8.35,4,JP Faulkner,Left-arm fast-medium,29-Apr-90,Australia
276,83,1397.0,197.0,7.09,4,M Kartik,Slow left-arm orthodox,11-Sep-76,India
277,163,1004.0,128.33333333333334,7.82,4,MC Henriques,Right-arm fast-medium,1-Feb-87,Australia
278,370,866.0,112.33333333333333,7.71,4,PV Tambe,Legbreak,8-Oct-71,India
279,191,1031.0,129.33333333333334,7.97,4,AD Mathews,Right-arm fast-medium,2-Jun-87,Sri Lanka
280,192,801.0,118.16666666666667,6.78,4,J Botha,Right-arm offbreak,2-May-82,South Africa
281,296,1065.0,129.16666666666666,8.25,4,VR Aaron,Right-arm fast,29-Oct-89,India
282,382,1249.0,158.0,7.91,4,YS Chahal,Legbreak googly,23-Jul-90,India
283,31,1371.0,190.33333333333334,7.2,4,YK Pathan,Right-arm offbreak,17-Nov-82,India
284,38,1465.0,203.83333333333334,7.19,4,SK Warne,Legbreak googly,13-Sep-69,Australia
285,367,1221.0,162.16666666666666,7.53,4,Sandeep Sharma,Right-arm medium,18-May-93,India
286,223,810.0,114.83333333333333,7.05,4,DP Nannes,Left-arm fast,16-May-76,Australia
287,311,941.0,113.66666666666667,8.28,4,HV Patel,Right-arm medium,23-Nov-90,India
288,175,886.0,130.83333333333334,6.77,4,DL Vettori,Slow left-arm orthodox,27-Jan-79,New Zealand
289,276,1076.0,154.83333333333334,6.95,4,Shakib Al Hasan,Slow left-arm orthodox,24-Mar-87,Bangladesh
290,154,805.0,113.83333333333333,7.07,4,JP Duminy,Right-arm offbreak,14-Apr-84,South Africa
291,140,1063.0,151.5,7.02,4,Iqbal Abdulla,Slow left-arm orthodox,2-Dec-89,India
