,Player_Id,Runs,Balls_played,Strike_Rate,cluster,Player_Name,Batting_Hand,DOB,Country
0,182,81.0,71,114.08,0,LA Carseldine,Left_Hand,17-Nov-75,Australia
1,241,203.0,159,127.67,0,PD Collingwood,Right_Hand,26-May-76,England
2,244,34.0,26,130.77,0,A Mithun,Right_Hand,25-Oct-89,India
3,245,34.0,23,147.83,0,AP Dole,Right_Hand,9-Oct-87,India
4,246,36.0,27,133.33,0,AN Ahmed,Right_Hand,5-Nov-88,India
5,253,225.0,201,111.94,0,MR Marsh,Right_Hand,20-Oct-91,Australia
6,258,341.0,299,114.05,0,DT Christian,Right_Hand,4-May-83,Australia
7,264,43.0,31,138.71,0,Sunny Singh,Right_Hand,18-Dec-86,India
8,268,18.0,17,105.88,0,JJ van der Wath,Right_Hand,10-Jan-78,South Africa
9,240,10.0,9,111.11,0,KAJ Roach,Right_Hand,30-Jun-88,West Indies
10,270,27.0,19,142.11,0,S Aravind,Left_Hand,8-Apr-84,India
11,275,321.0,309,103.88,0,JEC Franklin,Left_Hand,7-Nov-80,New Zealand
12,277,170.0,142,119.72,0,DH Yagnik,Left_Hand,22-Jun-83,India
13,281,26.0,23,113.04,0,NL McCullum,Right_Hand,1-Sep-80,New Zealand
14,283,29.0,27,107.41,0,J Syed Mohammad,Left_Hand,3-Jun-83,India
15,284,326.0,238,136.97,0,RN ten Doeschate,Right_Hand,30-Jun-80,Netherlands
16,285,75.0,59,127.12,0,TR Birt,Left_Hand,9-Dec-81,Australia
17,289,120.0,91,131.87,0,AC Blizzard,Left_Hand,27-Jun-84,Australia
18,297,12.0,11,109.09,0,AA Chavan,Left_Hand,28-Oct-85,India
19,274,20.0,19,105.26,0,AC Thomas,Right_Hand,9-Feb-77,England
20,231,237.0,213,111.27,0,MD Mishra,Right_Hand,9-Feb-84,India
21,230,181.0,143,126.57,0,AC Voges,Right_Hand,4-Oct-79,Australia
22,229,183.0,179,102.23,0,FY Fazal,Left_Hand,7-Sep-85,India
23,149,4.0,3,133.33,0,CRD Fernando,Right_Hand,19-Jul-79,Sri Lanka
24,153,67.0,64,104.69,0,RR Powar,Right_Hand,20-May-78,India
25,155,62.0,57,108.77,0,A Flintoff,Right_Hand,6-Dec-77,England
26,164,19.0,17,111.76,0,R Bishnoi,Right_Hand,8-Oct-87,India
27,166,268.0,243,110.29,0,KV Sharma,Left_Hand,23-Oct-87,India
28,169,194.0,172,112.79,0,AS Raut,Right_Hand,3-Mar-87,India
29,175,121.0,118,102.54,0,DL Vettori,Left_Hand,27-Jan-79,New Zealand
30,176,167.0,135,123.7,0,MN van Wyk,Right_Hand,20-Mar-79,South Africa
31,177,159.0,144,110.42,0,RE van der Merwe,Right_Hand,31-Dec-84,South Africa
32,428,14.0,13,107.69,0,F Behardien,Right_Hand,9-Oct-83,South Africa
33,188,117.0,112,104.46,0,RJ Harris,Right_Hand,11-Oct-79,Australia
34,190,126.0,93,135.48,0,M Morkel,Left_Hand,6-Oct-84,South Africa
35,198,123.0,103,119.42,0,AB McDonald,Right_Hand,5-Jun-81,Australia
